12	10	E	-6848986.133902876	50
probinit	1	1.0
emissionprobs	6	7	H3k79me2	1	0.1624695381741083
emissionprobs	6	8	H3k9ac	0	0.09205671588488953
emissionprobs	6	8	H3k9ac	1	0.9079432841151105
emissionprobs	6	9	H3k9me1	0	0.994286828370519
emissionprobs	6	9	H3k9me1	1	0.005713171629481132
emissionprobs	7	0	H2az	0	0.6449777237102344
emissionprobs	7	0	H2az	1	0.3550222762897655
emissionprobs	7	1	H3k27ac	0	0.2757452818804236
emissionprobs	7	1	H3k27ac	1	0.7242547181195765
emissionprobs	7	2	H3k27me3	0	0.9995990114677757
emissionprobs	7	2	H3k27me3	1	4.0098853222422895E-4
emissionprobs	7	3	H3k36me3	0	0.9857983550592164
emissionprobs	7	3	H3k36me3	1	0.014201644940783537
emissionprobs	7	4	H3k4me1	0	0.04809671258662529
emissionprobs	7	4	H3k4me1	1	0.9519032874133747
emissionprobs	7	5	H3k4me2	0	0.3577320151217526
emissionprobs	7	5	H3k4me2	1	0.6422679848782473
emissionprobs	7	6	H3k4me3	0	0.9687281551609186
emissionprobs	7	6	H3k4me3	1	0.03127184483908132
emissionprobs	7	7	H3k79me2	0	0.9892991553284602
emissionprobs	7	7	H3k79me2	1	0.01070084467153979
emissionprobs	7	8	H3k9ac	0	0.7894969507197407
emissionprobs	7	8	H3k9ac	1	0.21050304928025929
emissionprobs	7	9	H3k9me1	0	0.9934274329723212
emissionprobs	7	9	H3k9me1	1	0.006572567027678895
emissionprobs	8	0	H2az	0	0.9016756913889287
emissionprobs	8	0	H2az	1	0.09832430861107128
emissionprobs	8	1	H3k27ac	0	0.8989769513022916
emissionprobs	8	1	H3k27ac	1	0.10102304869770845
emissionprobs	8	2	H3k27me3	0	0.9977122089525023
emissionprobs	8	2	H3k27me3	1	0.0022877910474977
emissionprobs	8	3	H3k36me3	0	0.9828882484850231
emissionprobs	8	3	H3k36me3	1	0.017111751514976833
emissionprobs	8	4	H3k4me1	0	0.3057884860328126
emissionprobs	8	4	H3k4me1	1	0.6942115139671874
emissionprobs	8	5	H3k4me2	0	0.88370379466108
emissionprobs	8	5	H3k4me2	1	0.11629620533892006
emissionprobs	8	6	H3k4me3	0	0.9999974296397309
emissionprobs	8	6	H3k4me3	1	2.5703602690255065E-6
emissionprobs	8	7	H3k79me2	0	0.9874885033274242
emissionprobs	8	7	H3k79me2	1	0.012511496672575732
emissionprobs	8	8	H3k9ac	0	0.995465546784515
emissionprobs	8	8	H3k9ac	1	0.0045344532154849475
emissionprobs	8	9	H3k9me1	0	0.9932409644916801
emissionprobs	8	9	H3k9me1	1	0.0067590355083199175
emissionprobs	9	0	H2az	0	0.98031274110996
emissionprobs	9	0	H2az	1	0.01968725889003992
emissionprobs	9	1	H3k27ac	0	0.6944151012231995
emissionprobs	9	1	H3k27ac	1	0.3055848987768005
emissionprobs	9	2	H3k27me3	0	0.9998195617304737
emissionprobs	9	2	H3k27me3	1	1.8043826952625502E-4
emissionprobs	9	3	H3k36me3	0	0.8443590087926675
emissionprobs	9	3	H3k36me3	1	0.15564099120733255
emissionprobs	9	4	H3k4me1	0	0.14524702841605938
emissionprobs	9	4	H3k4me1	1	0.8547529715839406
emissionprobs	9	5	H3k4me2	0	0.5240961453810576
emissionprobs	9	5	H3k4me2	1	0.4759038546189423
emissionprobs	9	6	H3k4me3	0	0.8689402323381282
emissionprobs	9	6	H3k4me3	1	0.13105976766187172
emissionprobs	9	7	H3k79me2	0	0.1327047687842975
emissionprobs	9	7	H3k79me2	1	0.8672952312157025
emissionprobs	9	8	H3k9ac	0	0.9133972269278996
emissionprobs	9	8	H3k9ac	1	0.08660277307210039
emissionprobs	9	9	H3k9me1	0	0.9728555768456959
emissionprobs	9	9	H3k9me1	1	0.02714442315430408
emissionprobs	10	0	H2az	0	0.9990040641188831
emissionprobs	10	0	H2az	1	9.959358811169002E-4
emissionprobs	10	1	H3k27ac	0	0.9877128053837405
emissionprobs	10	1	H3k27ac	1	0.012287194616259472
emissionprobs	10	2	H3k27me3	0	0.9998273143260907
emissionprobs	10	2	H3k27me3	1	1.7268567390938034E-4
emissionprobs	10	3	H3k36me3	0	0.8962849871477474
emissionprobs	10	3	H3k36me3	1	0.10371501285225262
emissionprobs	10	4	H3k4me1	0	0.9706590563318436
emissionprobs	10	4	H3k4me1	1	0.02934094366815639
emissionprobs	10	5	H3k4me2	0	0.9957763777082391
emissionprobs	10	5	H3k4me2	1	0.00422362229176083
emissionprobs	10	6	H3k4me3	0	0.9998182034062724
emissionprobs	10	6	H3k4me3	1	1.817965937276325E-4
emissionprobs	10	7	H3k79me2	0	0.3254459684733217
emissionprobs	10	7	H3k79me2	1	0.6745540315266783
emissionprobs	10	8	H3k9ac	0	0.9987439496823238
emissionprobs	10	8	H3k9ac	1	0.0012560503176762613
emissionprobs	10	9	H3k9me1	0	0.9860864907819912
emissionprobs	10	9	H3k9me1	1	0.013913509218008959
emissionprobs	11	0	H2az	0	0.9945046316109138
emissionprobs	11	0	H2az	1	0.005495368389086187
emissionprobs	11	1	H3k27ac	0	0.9957130686790755
emissionprobs	11	1	H3k27ac	1	0.0042869313209245
emissionprobs	11	2	H3k27me3	0	0.99975500543477
emissionprobs	11	2	H3k27me3	1	2.4499456522995204E-4
emissionprobs	11	3	H3k36me3	0	0.9857823736935561
emissionprobs	11	3	H3k36me3	1	0.01421762630644391
emissionprobs	11	4	H3k4me1	0	0.9991783161117123
emissionprobs	11	4	H3k4me1	1	8.216838882877433E-4
emissionprobs	11	5	H3k4me2	0	0.9997487042085884
emissionprobs	11	5	H3k4me2	1	2.512957914116356E-4
emissionprobs	11	6	H3k4me3	0	0.9999019910263025
emissionprobs	11	6	H3k4me3	1	9.80089736974695E-5
emissionprobs	11	7	H3k79me2	0	0.9893657536958428
emissionprobs	11	7	H3k79me2	1	0.010634246304157293
emissionprobs	11	8	H3k9ac	0	0.9995232705388323
emissionprobs	11	8	H3k9ac	1	4.767294611677654E-4
emissionprobs	11	9	H3k9me1	0	0.9953741964105429
emissionprobs	11	9	H3k9me1	1	0.004625803589457081
emissionprobs	12	0	H2az	0	0.9994489918973956
emissionprobs	12	0	H2az	1	5.510081026044003E-4
emissionprobs	12	1	H3k27ac	0	0.9876121387044311
emissionprobs	12	1	H3k27ac	1	0.012387861295568911
emissionprobs	12	2	H3k27me3	0	0.9982685941160216
emissionprobs	12	2	H3k27me3	1	0.0017314058839784064
emissionprobs	12	3	H3k36me3	0	0.6441456306978702
emissionprobs	12	3	H3k36me3	1	0.3558543693021297
emissionprobs	12	4	H3k4me1	0	0.9937637708578603
emissionprobs	12	4	H3k4me1	1	0.006236229142139767
emissionprobs	12	5	H3k4me2	0	0.999331303411451
emissionprobs	12	5	H3k4me2	1	6.686965885490189E-4
emissionprobs	12	6	H3k4me3	0	0.9993198239066955
emissionprobs	12	6	H3k4me3	1	6.801760933045156E-4
emissionprobs	12	7	H3k79me2	0	0.9608851610375224
emissionprobs	12	7	H3k79me2	1	0.03911483896247755
emissionprobs	12	8	H3k9ac	0	0.9987750129017254
emissionprobs	12	8	H3k9ac	1	0.001224987098274592
emissionprobs	12	9	H3k9me1	0	0.9927760313964342
emissionprobs	12	9	H3k9me1	1	0.007223968603565724
